book_names,author_pages,no_of_pages,avg_rating,date_added,image_sources,image_name
Lucky Per,https://www.goodreads.com/author/show/539149.Henrik_Pontoppidan,664,4.40,2021-04-03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532991956l/40985727._SY75_.jpg,cover_1.png
The Fall of the King,https://www.goodreads.com/author/show/1545124.Johannes_V_Jensen,274,3.72,2021-09-13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327997087l/11998522._SX50_.jpg,cover_2.png
Niels Lyhne,https://www.goodreads.com/author/show/87694.Jens_Peter_Jacobsen,187,3.97,2022-09-07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309198704l/861004._SY75_.jpg,cover_3.png
Why We Came to the City,https://www.goodreads.com/author/show/6463605.Kristopher_Jansma,418,3.54,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442381193l/25716667._SY75_.jpg,cover_4.png
Rickshaw Boy,https://www.goodreads.com/author/show/93509.Lao_She,300,3.90,2024-12-01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348606956l/8016836._SY75_.jpg,cover_5.png
Exile,https://www.goodreads.com/author/show/1555180.Jakob_Ejersbo,320,3.90,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327996332l/10166268._SX50_.jpg,cover_6.png
Surrender,https://www.goodreads.com/author/show/40561.Ray_Loriga,224,3.79,2021-05-11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553824275l/43261159._SY75_.jpg,cover_7.png
How to Fall In Love with a Man Who Lives in a Bush,https://www.goodreads.com/author/show/5175738.Emmy_Abrahamson,244,3.21,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502978448l/35487750._SY75_.jpg,cover_8.png
The Lost Soul,https://www.goodreads.com/author/show/296560.Olga_Tokarczuk,48,4.33,2024-02-07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607324857l/53377292._SX50_.jpg,cover_9.png
When the Doves Disappeared by Sofi Oksanen (2015-05-07),https://www.goodreads.com/author/show/1129509.Sofi_Oksanen,0,3.46,2024-12-01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697719894l/161467025._SX50_.jpg,cover_10.png
The Unchangeable Spots of Leopards,https://www.goodreads.com/author/show/6463605.Kristopher_Jansma,272,3.83,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386022689l/18114280._SY75_.jpg,cover_11.png
A Man,https://www.goodreads.com/author/show/5511353.Keiichir_Hirano,303,3.93,2022-05-05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577302185l/49882394._SY75_.jpg,cover_12.png
Supernova Era,https://www.goodreads.com/author/show/5780686.Liu_Cixin,352,3.30,2024-02-07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546439094l/43263225._SY75_.jpg,cover_13.png
Grey Bees,https://www.goodreads.com/author/show/88420.Andrey_Kurkov,349,4.06,2022-12-12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605876951l/50374582._SY75_.jpg,cover_14.png
Every Day Is for the Thief,https://www.goodreads.com/author/show/1042875.Teju_Cole,128,3.69,2020-10-20,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345189865l/2320230._SY75_.jpg,cover_15.png
Remainder,https://www.goodreads.com/author/show/30757.Tom_McCarthy,308,3.67,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412059487l/101334._SY75_.jpg,cover_16.png
Blonde Roots,https://www.goodreads.com/author/show/51051.Bernardine_Evaristo,288,3.60,2024-12-01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348897705l/4045950._SY75_.jpg,cover_17.png
The World to Come,https://www.goodreads.com/author/show/53185.Dara_Horn,336,3.86,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331324069l/92644._SX50_.jpg,cover_18.png
My Cat Yugoslavia,https://www.goodreads.com/author/show/8431418.Pajtim_Statovci,272,3.73,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492488891l/34875448._SY75_.jpg,cover_19.png
The Suitcase,https://www.goodreads.com/author/show/88655.Sergei_Dovlatov,128,4.31,2022-12-16,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320527879l/153300._SX50_.jpg,cover_20.png
Near to the Wild Heart,https://www.goodreads.com/author/show/86098.Clarice_Lispector,192,4.02,2020-06-13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656574131l/153425._SX50_.jpg,cover_21.png
Frankissstein: A Love Story,https://www.goodreads.com/author/show/9399.Jeanette_Winterson,344,3.54,2019-12-03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547329058l/42123790._SY75_.jpg,cover_22.png
Sanctuary,https://www.goodreads.com/author/show/3535.William_Faulkner,317,3.63,2020-01-08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385366876l/18789._SY75_.jpg,cover_23.png
"The Morning Star (Morgenstjernen, #1)",https://www.goodreads.com/author/show/3020048.Karl_Ove_Knausg_rd,666,3.94,2022-05-05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620081368l/57799745._SY75_.jpg,cover_24.png
The Confessions of Nat Turner,https://www.goodreads.com/author/show/7565.William_Styron,453,3.96,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406138384l/577283._SY75_.jpg,cover_25.png
The Year I Met You,https://www.goodreads.com/author/show/7116.Cecelia_Ahern,432,3.63,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454257263l/23002501._SY75_.jpg,cover_26.png
Primeval and Other Times,https://www.goodreads.com/author/show/296560.Olga_Tokarczuk,248,4.27,2020-05-15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489621832l/6617921._SX50_.jpg,cover_27.png
When the Moon is Low,https://www.goodreads.com/author/show/7273667.Nadia_Hashimi,384,4.12,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421706885l/23447506._SX50_.jpg,cover_28.png
All the Beauty in the World: The Metropolitan Museum of Art and Me,https://www.goodreads.com/author/show/21927328.Patrick_Bringley,240,4.06,2023-05-31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675897622l/59364113._SX50_.jpg,cover_29.png
Libra,https://www.goodreads.com/author/show/233.Don_DeLillo,480,4.04,2020-12-03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327935630l/400._SY75_.jpg,cover_30.png
The City and Its Uncertain Walls,https://www.goodreads.com/author/show/3354.Haruki_Murakami,449,3.80,2024-12-01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1709742028l/209192695._SX50_.jpg,cover_31.png
"City of Glass (The New York Trilogy, #1)",https://www.goodreads.com/author/show/296961.Paul_Auster,203,3.76,2024-06-23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309986722l/432._SY75_.jpg,cover_32.png
Naïve. Super,https://www.goodreads.com/author/show/211631.Erlend_Loe,208,3.86,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328731029l/604635._SY75_.jpg,cover_33.png
Here I Am,https://www.goodreads.com/author/show/2617.Jonathan_Safran_Foer,571,3.64,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471029768l/31434269._SX50_.jpg,cover_34.png
Pnin,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,184,3.88,2022-01-01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657567547l/30593._SY75_.jpg,cover_35.png
A Complicated Kindness,https://www.goodreads.com/author/show/8359.Miriam_Toews,253,3.69,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434887050l/13374._SY75_.jpg,cover_36.png
Tell Me Who I Am,https://www.goodreads.com/author/show/38457.Julia_Navarro,993,4.40,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393048020l/20884227._SY75_.jpg,cover_37.png
The Prague Cemetery,https://www.goodreads.com/author/show/1730.Umberto_Eco,445,3.50,2022-01-01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327902035l/10314376._SY75_.jpg,cover_38.png
Manuscript Found in Accra,https://www.goodreads.com/author/show/566.Paulo_Coelho,190,3.81,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362586181l/16054811._SX50_.jpg,cover_39.png
Pereira Maintains,https://www.goodreads.com/author/show/64456.Antonio_Tabucchi,196,4.19,2024-02-07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348389365l/7849308._SY75_.jpg,cover_40.png
The Tortilla Curtain,https://www.goodreads.com/author/show/1064072.T_Coraghessan_Boyle,355,3.66,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388208754l/24731._SY75_.jpg,cover_41.png
The End of Eddy,https://www.goodreads.com/author/show/7757102._douard_Louis,208,3.94,2022-02-13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493822268l/31574750._SX50_.jpg,cover_42.png
An Elderly Lady Is Up to No Good (Elderly Lady #1),https://www.goodreads.com/author/show/283238.Helene_Tursten,174,3.75,2023-08-27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526077553l/40104741._SX50_.jpg,cover_43.png
Freshwater,https://www.goodreads.com/author/show/16944266.Akwaeke_Emezi,229,4.02,2023-06-26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500884500l/35412372._SY75_.jpg,cover_44.png
Tinkers,https://www.goodreads.com/author/show/4371731.Paul_Harding,192,3.41,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364258693l/4957350._SX50_.jpg,cover_45.png
"The Expats (Kate Moore, #1)",https://www.goodreads.com/author/show/437652.Chris_Pavone,326,3.51,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325641431l/12617758._SY75_.jpg,cover_46.png
The Club Dumas,https://www.goodreads.com/author/show/40398.Arturo_P_rez_Reverte,362,3.81,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327896341l/7194._SY75_.jpg,cover_47.png
The Known World,https://www.goodreads.com/author/show/33.Edward_P_Jones,388,3.84,2020-10-03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538134660l/67._SY75_.jpg,cover_48.png
Fifty Words for Rain,https://www.goodreads.com/author/show/19347143.Asha_Lemmie,449,3.88,2022-04-12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601497072l/49691870._SY75_.jpg,cover_49.png
The Tin Drum,https://www.goodreads.com/author/show/749461.G_nter_Grass,580,3.95,2023-11-02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327945103l/35743._SY75_.jpg,cover_50.png
The Mars Room,https://www.goodreads.com/author/show/164139.Rachel_Kushner,338,3.44,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524991696l/36373648._SY75_.jpg,cover_51.png
Out of Africa,https://www.goodreads.com/author/show/7215049.Isak_Dinesen,401,3.91,2023-05-03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608486134l/781787._SY75_.jpg,cover_52.png
Uncommon Type: Some Stories,https://www.goodreads.com/author/show/416300.Tom_Hanks,415,3.42,2019-08-29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504438310l/34409015._SY75_.jpg,cover_53.png
