book_names,author_pages,no_of_pages,no_of_ratings,avg_rating,my_rating,date_added,date_read,image_sources,image_name,name
Vaim,https://www.goodreads.com/author/show/68668.Jon_Fosse,120,1243,4.07,4.0,"January 18, 2026","Jan 18, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1756562611l/240969234._SY75_.jpg,www/cover_1.png,Jon Fosse
Dark Neighbourhood,https://www.goodreads.com/author/show/17206040.Vanessa_Onwuemezi,139,487,3.32,2.0,"January 14, 2026","Jan 14, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623795965l/58349688._SY75_.jpg,www/cover_2.png,Vanessa Onwuemezi
The Accidentals,https://www.goodreads.com/author/show/1388401.Guadalupe_Nettel,122,3153,3.78,4.0,"January 12, 2026","Jan 12, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1744132616l/231174474._SY75_.jpg,www/cover_3.png,Guadalupe Nettel
Kırık Kanatlar,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,88,28643,3.96,4.0,"January 10, 2026","Jan 10, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530943336l/40731325._SY75_.jpg,www/cover_4.png,Kahlil Gibran
Kum ve Köpük,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,88,7876,4.02,4.0,"January 08, 2026","Jan 08, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1707048329l/37925467._SY75_.jpg,www/cover_5.png,Kahlil Gibran
Ermişin Bahçesi,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,56,4608,3.77,4.0,"January 07, 2026","Jan 07, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1702362847l/33198358._SY75_.jpg,www/cover_6.png,Kahlil Gibran
Ermiş,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,54,329130,4.23,4.0,"January 06, 2026","Jan 06, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600884142l/22233399._SY75_.jpg,www/cover_7.png,Kahlil Gibran
Gezgin,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,72,3863,3.69,5.0,"January 05, 2026","Jan 05, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483121512l/33642488._SY75_.jpg,www/cover_8.png,Kahlil Gibran
Meczup,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,64,12133,3.98,4.0,"January 04, 2026","Jan 04, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467160461l/24124612._SY75_.jpg,www/cover_9.png,Kahlil Gibran
İnsanlar,https://www.goodreads.com/author/show/76360.Matt_Haig,296,159083,4.07,4.0,"January 01, 2026","Jan 04, 2026",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648137293l/60683761._SY75_.jpg,www/cover_10.png,Matt Haig
"The Maze Runner (The Maze Runner, #1)",https://www.goodreads.com/author/show/348878.James_Dashner,384,1685406,4.05,4.0,"December 31, 2025","Dec 31, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592l/6186357._SY75_.jpg,www/cover_11.png,James Dashner
"Biri, Hiçbiri, Binlercesi",https://www.goodreads.com/author/show/7702.Luigi_Pirandello,224,30437,4.03,4.0,"December 28, 2025","Dec 28, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606554012l/56068947._SX50_.jpg,www/cover_12.png,Luigi Pirandello
The Visiting Privilege: New and Collected Stories,https://www.goodreads.com/author/show/49237.Joy_Williams,512,1788,4.14,4.0,"December 18, 2025","Dec 28, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431942001l/24195950._SX50_.jpg,www/cover_13.png,Joy Williams
Çiçeklenmeler,https://www.goodreads.com/author/show/7730772.Melisa_Kesmez,113,2077,4.14,5.0,"December 18, 2025","Dec 18, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1737107000l/223717285._SY75_.jpg,www/cover_14.png,Melisa Kesmez
Harrow,https://www.goodreads.com/author/show/49237.Joy_Williams,224,3041,3.15,3.0,"December 16, 2025","Dec 16, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1616434647l/56376963._SX50_.jpg,www/cover_15.png,Joy Williams
Concerning the Future of Souls: 99 Stories of Azrael,https://www.goodreads.com/author/show/49237.Joy_Williams,176,819,3.86,5.0,"December 13, 2025","Dec 13, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698989723l/201446034._SY75_.jpg,www/cover_16.png,Joy Williams
Bekle Beni,https://www.goodreads.com/author/show/17853832.Z_lf_Livaneli,189,1473,3.46,2.0,"December 12, 2025","Dec 12, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1757856399l/241620673._SY75_.jpg,www/cover_17.png,Zülfü Livaneli
One Boat,https://www.goodreads.com/author/show/133665.Jonathan_Buckley,171,1891,3.17,3.0,"December 08, 2025","Dec 11, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1724412552l/217832844._SY75_.jpg,www/cover_18.png,Jonathan Buckley
Benden Selam Söyle Anadolu'ya,https://www.goodreads.com/author/show/1312673.Dido_Sotiriou,260,5596,4.41,4.0,"November 03, 2025","Dec 07, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419798778l/6855592._SY75_.jpg,www/cover_19.png,Dido Sotiriou
The Fault in Our Stars,https://www.goodreads.com/author/show/1406384.John_Green,313,5725456,4.12,4.0,"December 04, 2025","Dec 05, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436142804l/25856606._SX50_.jpg,www/cover_20.png,John Green
Asılacak Kadın,https://www.goodreads.com/author/show/2837061.P_nar_K_r,152,2655,4.36,4.0,"November 27, 2025","Nov 27, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474896375l/1531992._SY75_.jpg,www/cover_21.png,Pınar Kür
Still Born,https://www.goodreads.com/author/show/1388401.Guadalupe_Nettel,219,27009,4.13,3.0,"November 17, 2025","Nov 17, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664103345l/59115451._SY75_.jpg,www/cover_22.png,Guadalupe Nettel
Kalanlar,https://www.goodreads.com/author/show/3230107.Tezer_zl_,75,1686,4.04,4.0,"November 13, 2025","Nov 12, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421604539l/7314416._SY75_.jpg,www/cover_23.png,Tezer Özlü
Eski Bahçe,https://www.goodreads.com/author/show/3230107.Tezer_zl_,80,135,3.51,3.0,"November 10, 2025","Nov 10, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533163498l/41024290._SX50_.jpg,www/cover_24.png,Tezer Özlü
Yürekte Bukağı,https://www.goodreads.com/author/show/1357048.Tomris_Uyar,96,489,3.82,3.0,"November 09, 2025","Nov 09, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489940362l/7684700._SY75_.jpg,www/cover_25.png,Tomris Uyar
Yaza Yolculuk,https://www.goodreads.com/author/show/1357048.Tomris_Uyar,88,762,3.6,3.0,"November 08, 2025","Nov 07, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404498118l/7673122._SY75_.jpg,www/cover_26.png,Tomris Uyar
Aramızdaki Şey,https://www.goodreads.com/author/show/1357048.Tomris_Uyar,76,956,3.9,4.0,"November 06, 2025","Nov 05, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496347470l/6698615._SY75_.jpg,www/cover_27.png,Tomris Uyar
Dizboyu Papatyalar,https://www.goodreads.com/author/show/1357048.Tomris_Uyar,80,1088,3.84,4.0,"November 03, 2025","Nov 03, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438332569l/7684728._SY75_.jpg,www/cover_28.png,Tomris Uyar
Burun,https://www.goodreads.com/author/show/232932.Nikolai_Gogol,73,18304,3.71,4.0,"November 02, 2025","Nov 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494872240l/35145969._SX50_.jpg,www/cover_29.png,Nikolai Gogol
The City and Its Uncertain Walls,https://www.goodreads.com/author/show/3354.Haruki_Murakami,445,37412,3.75,3.0,"October 08, 2025","Nov 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1716392928l/209087362._SY75_.jpg,www/cover_30.png,Haruki Murakami
Looking for Alaska,https://www.goodreads.com/author/show/1406384.John_Green,221,1748986,3.96,4.0,"October 28, 2025",Nov 2025,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652042180l/99561._SY75_.jpg,www/cover_31.png,John Green
Lord of the Flies,https://www.goodreads.com/author/show/306.William_Golding,182,3201381,3.7,3.0,"October 27, 2025","Oct 27, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624._SY75_.jpg,www/cover_32.png,William Golding
"Arı Kovanına Çomak Sokan Kız (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson,799,776330,4.24,5.0,"October 02, 2025","Oct 26, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1299343800l/10691958._SY75_.jpg,www/cover_33.png,Stieg Larsson
"Ateşle Oynayan Kız  (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson,672,986562,4.26,5.0,"September 15, 2025","Oct 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430346640l/10585854._SY75_.jpg,www/cover_34.png,Stieg Larsson
The Color Purple,https://www.goodreads.com/author/show/7380.Alice_Walker,256,752388,4.28,4.0,"September 15, 2025","Sep 27, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535265154l/13336267._SY75_.jpg,www/cover_35.png,Alice Walker
The City & The City,https://www.goodreads.com/author/show/33918.China_Mi_ville,332,78700,3.9,3.0,"August 19, 2025","Sep 14, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527298760l/40212456._SY75_.jpg,www/cover_36.png,China Miéville
Ölmüş Eşek,https://www.goodreads.com/author/show/46243.Aziz_Nesin,184,575,3.87,4.0,"September 07, 2025","Sep 07, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445978821l/27310072._SY75_.jpg,www/cover_37.png,Aziz Nesin
Gol Kralı,https://www.goodreads.com/author/show/46243.Aziz_Nesin,288,418,4.12,3.0,"August 24, 2025","Aug 24, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592058363l/6795778._SX50_.jpg,www/cover_38.png,Aziz Nesin
Zacharius Usta,https://www.goodreads.com/author/show/696805.Jules_Verne,56,4208,3.47,2.0,"August 18, 2025","Aug 18, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663336034l/38453117._SY75_.jpg,www/cover_39.png,Jules Verne
Bir Noel Şarkısı,https://www.goodreads.com/author/show/239579.Charles_Dickens,104,939526,4.09,4.0,"August 16, 2025","Aug 16, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610648332l/56668041._SY75_.jpg,www/cover_40.png,Charles Dickens
